word,word_len,uni_prob,uni_prob_smoothed,uni_prob_freq_weighted,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
K R,2,-4.442198665398635,-4.670898475261252,-4.3984407253995625,-4.4495794434192835,-4.007333185232471,-3.809666456837841,-6.027107438913379,-4.480465901380814,1.3454545454545455,1.4015984393514964,1.2467532467532467,1.365184828033187,1.0303030303030303,1.038297380135727,1.0038684719535784,1.0108796258301527
G R,2,-5.135345845958581,-5.2586851401633705,-5.104686915341249,-5.130634928347961,-4.007333185232471,-3.9448467265955682,-6.294422208540726,-4.858385987864167,1.3454545454545455,1.3833272765277393,1.2467532467532467,1.3481628346408825,1.0303030303030303,1.037292731629929,1.0038684719535784,1.0106352380087749
K L,2,-4.809923445523953,-5.007370711882464,-4.907211335544121,-4.949203897295973,-4.007333185232471,-4.428090497988186,-6.245796639878209,-5.168006861876308,1.2545454545454546,1.2910546860587104,1.192207792207792,1.268335861723711,1.0303030303030303,1.0363309998871122,1.0038684719535784,1.01040128999211
S T,2,-4.838094322490649,-5.007370711882464,-4.784178329860876,-4.825225775695481,-4.230476736546681,-4.03501485962245,-6.394556471070591,-4.824281909461863,1.315151515151515,1.2939363961394625,1.2493506493506492,1.2784880822001334,1.0606060606060606,1.0736920463900366,1.0058027079303675,1.019489627561467
S M,2,-5.754385054364803,-5.700517892442409,-5.659120409372727,-5.654239558675158,-4.007333185232471,-4.2199393368578875,-6.686692893871752,-5.36407902132672,1.2848484848484847,1.2485682458895127,1.2311688311688311,1.238740395657927,1.0303030303030303,1.0283238961400867,1.0038684719535784,1.008453505638689
P R,2,-4.729880737850416,-4.922212903542158,-4.5733185729035934,-4.619718683606517,-4.007333185232471,-3.8164063342542525,-6.1835596157289165,-4.549197198242742,1.3272727272727272,1.3853398739202565,1.2337662337662338,1.350037834051005,1.0303030303030303,1.044688202939821,1.0038684719535784,1.0124342384662042
T R,2,-4.91220229464437,-5.076363583369416,-4.708946169787985,-4.751075446984653,-3.8250116284385163,-3.773325109613461,-6.148468295917646,-4.560980170614593,1.3272727272727272,1.3764367807536175,1.2337662337662338,1.3417434307601237,1.0303030303030303,1.0401339692528773,1.0038684719535784,1.0113263890617865
D R,2,-5.423027918410361,-5.48182869147758,-5.294153977792391,-5.309908885255572,-4.007333185232471,-4.025625999322512,-6.479825431872089,-5.023974174656231,1.3272727272727272,1.3721801843189378,1.2337662337662338,1.3377778508414435,1.0303030303030303,1.0343987137422381,1.0038684719535784,1.0099312477848117
B L,2,-5.7907526985356785,-5.818300928098793,-5.660656252249373,-5.675087274792332,-4.007333185232471,-4.02386479287838,-6.698514632836919,-5.0898860884308545,1.2363636363636363,1.269806088536066,1.1792207792207792,1.248539995958895,1.0303030303030303,1.0344593503596777,1.0038684719535784,1.0099459980688625
F L,2,-5.7907526985356785,-5.818300928098793,-5.668983581789826,-5.682985179698547,-4.007333185232471,-3.9679016983179447,-6.698514632836919,-5.0467133854173385,1.2363636363636363,1.269295205682138,1.1792207792207792,1.2480640413276718,1.0303030303030303,1.036442784161677,1.0038684719535784,1.0104284823038165
S L,2,-4.250307657588531,-4.4965450881164735,-4.386676910835433,-4.438806863101918,-4.007333185232471,-4.02386479287838,-5.729580167477342,-4.617599889855216,1.4363636363636363,1.4284444998375787,1.322077922077922,1.3963325592996867,1.0303030303030303,1.0344593503596777,1.0038684719535784,1.0099459980688625
B R,2,-5.423027918410361,-5.48182869147758,-5.151885642104815,-5.175462820915643,-4.007333185232471,-3.9512315126356388,-6.479825431872089,-4.887361273001915,1.3272727272727272,1.380349841828852,1.2337662337662338,1.345388962268371,1.0303030303030303,1.0370553840307397,1.0038684719535784,1.0105775015344356
F R,2,-5.423027918410361,-5.48182869147758,-5.160212971645268,-5.183360725821857,-4.007333185232471,-3.9915566088822914,-6.479825431872089,-4.925820081733298,1.3272727272727272,1.379838958974924,1.2337662337662338,1.3449130076371478,1.0303030303030303,1.0355908493079842,1.0038684719535784,1.0102212431533593
S P,2,-4.655772765696694,-4.853220032055206,-4.648550732976485,-4.693869012317345,-4.007333185232471,-4.048079749264678,-6.141965718430079,-4.788636706885671,1.3454545454545452,1.3036330123120372,1.2675324675324675,1.2869834265777238,1.0909090909090908,1.0833886625626112,1.0077369439071566,1.0218483977059263
P L,2,-5.097605517975733,-5.2586851401633705,-5.082089183048151,-5.119343137483207,-4.007333185232471,-4.032630084616907,-6.402248816693747,-4.886279882142127,1.2363636363636363,1.2747961206274705,1.1792207792207792,1.253188867741529,1.0303030303030303,1.0351726573703863,1.0038684719535784,1.0101195150206268
S N,2,-5.754385054364803,-5.700517892442409,-5.721487543240323,-5.711664866716147,-4.007333185232471,-4.15734987849931,-6.686692893871752,-5.349263595148878,1.2848484848484847,1.2503976775920758,1.2311688311688311,1.2403431869875985,1.0303030303030303,1.0301533278426498,1.0038684719535784,1.008898527778839
M R,2,-5.828493026518526,-5.769510763929361,-5.583888249299836,-5.580089229964331,-inf,-inf,-7.8268990798386975,-7.448267604160723,1.2909090909090908,1.3440394158078761,1.2077922077922079,1.3115610205132264,1,1,1.001934235976789,1.0015635185131846
SH R,2,-5.828493026518526,-5.769510763929361,-5.803447496156556,-5.780923558194997,-4.007333185232471,-4.397747073635836,-6.728286791170588,-5.619604269218489,1.309090909090909,1.3508548316018179,1.2207792207792207,1.3179104775088941,1.0303030303030303,1.0237100284063902,1.0038684719535784,1.0073311498325979
G L,2,-5.503070626083899,-5.595157376784583,-5.613457525485806,-5.630259382224651,-4.007333185232471,-4.118909234414334,-6.513111409505556,-5.145846263810018,1.2545454545454546,1.2727835232349534,1.192207792207792,1.2513138683314067,1.0303030303030303,1.031335007949622,1.0038684719535784,1.0091859797834373
SH L,2,-6.196217806643843,-6.105983000550574,-6.312218106301114,-6.280548012071687,-inf,-inf,-7.640123172695364,-7.305763733647595,1.2181818181818183,1.2403110783090319,1.166233766233766,1.2210615111994183,1,1,1.001934235976789,1.0015635185131846
S K,2,-4.3680906932449135,-4.6019056037743,-4.473672885472454,-4.52372977213011,-4.007333185232471,-4.099215139445802,-5.985513541614543,-4.779991194504578,1.3757575757575755,1.3127629340372722,1.2857142857142856,1.2949822818294854,1.121212121212121,1.0925185842878462,1.009671179883946,1.024069315436757
V R,2,-6.521640207078471,-6.174975872037525,-6.208287671519235,-6.139868834885087,-inf,-inf,-7.786077085318444,-7.4203507762210865,1.2909090909090908,1.3401645711562953,1.2077922077922079,1.3079510926344353,1,1,1.001934235976789,1.0015635185131846
S R,2,-3.8825828774632125,-4.1600728514952605,-3.877906300690875,-3.9391824092252277,-inf,-inf,-6.204038147072457,-6.326865584398723,1.5272727272727271,1.5389882531303647,1.3766233766233766,1.4931815256091627,1,1,1.001934235976789,1.0015635185131846
V L,2,-6.8893649872037885,-6.511448108658739,-6.717058281663793,-6.639493288761777,-inf,-inf,-8.004766286283273,-7.561316609102266,1.2,1.2296208178635093,1.1532467532467532,1.2111021263249595,1,1,1.001934235976789,1.0015635185131846
M L,2,-6.196217806643843,-6.105983000550574,-6.092658859444393,-6.079713683841021,-inf,-inf,-8.045588280803527,-7.589233437041902,1.2,1.2334956625150901,1.1532467532467532,1.2147120542037506,1,1,1.001934235976789,1.0015635185131846
F P,2,-6.196217806643843,-6.174975872037526,-5.930857403930878,-5.9380473289139735,-inf,-inf,-8.497194544909547,-7.902309530775203,1.1454545454545453,1.1444837181565966,1.1246753246753247,1.138714908605709,1,1,1.001934235976789,1.0015635185131846
SH T,2,-6.784004471545962,-6.6168086243165645,-6.709719525326557,-6.66696692466525,-inf,-inf,-8.710564584396778,-8.185157891249283,1.096969696969697,1.1058029746109157,1.0935064935064933,1.103217034099865,1,1,1.001934235976789,1.0015635185131846
ZH R,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.2727272727272727,1.3187439033809387,1.1818181818181819,1.284887268065737,1,1,1,1
F SH,2,-7.294830095311953,-7.022273732424729,-7.16098632718384,-7.099252203502454,-inf,-inf,-8.754239647899439,-8.085496956417856,1.0545454545454545,1.0610950555939853,1.07012987012987,1.0656569064069936,1,1,1.001934235976789,1.0015635185131846
SH N,2,-7.700295203420117,-7.30995580487651,-7.647028738706004,-7.553406015685916,-inf,-inf,-8.597235899089775,-7.926143017757979,1.0666666666666667,1.062264256063529,1.0753246753246752,1.06507213888733,1,1,1.001934235976789,1.0015635185131846
F T,2,-6.378539363437797,-6.329126551864784,-6.066485000815269,-6.06940409229211,-inf,-inf,-8.462103225098279,-7.82370955016059,1.115151515151515,1.1347871019840219,1.1064935064935064,1.1302195642281185,1,1,1.001934235976789,1.0015635185131846
N R,2,-5.828493026518526,-5.769510763929361,-5.646255383167431,-5.63751453800532,-inf,-inf,-7.8268990798386975,-7.55246473146325,1.2909090909090908,1.3406717921675229,1.2077922077922079,1.3084236357771375,1,1,1.001934235976789,1.0015635185131846
Z R,2,-6.521640207078471,-6.174975872037525,-6.582081091236914,-6.454384620073694,-inf,-inf,-7.786077085318444,-7.664367096610356,1.2909090909090908,1.333483872918916,1.2077922077922079,1.3017271427769703,1,1,1.001934235976789,1.0015635185131846
SH M,2,-7.700295203420117,-7.30995580487651,-7.584661604838408,-7.495980707644928,-inf,-inf,-8.597235899089775,-7.8896538228076345,1.0666666666666667,1.0604348243609658,1.0753246753246752,1.0634693475576587,1,1,1.001934235976789,1.0015635185131846
S F,2,-5.34891994625664,-5.412835819990629,-5.235445131718159,-5.257511054532685,-inf,-inf,-7.824525895693142,-7.689192831128063,1.2545454545454544,1.220244349749426,1.2129870129870128,1.2139254243790085,1,1,1.001934235976789,1.0015635185131846
F S,2,-5.34891994625664,-5.412835819990629,-5.235445131718159,-5.257511054532685,-inf,-inf,-9.146281735675462,-8.862583810283304,1.0545454545454545,1.0610950555939853,1.07012987012987,1.0656569064069936,1,1,1.001934235976789,1.0015635185131846
Z L,2,-6.8893649872037885,-6.511448108658739,-7.090851701381471,-6.954009073950385,-inf,-inf,-8.004766286283273,-7.805332929491535,1.2,1.22294011962613,1.1532467532467532,1.2048781764674943,1,1,1.001934235976789,1.0015635185131846
Z T,2,-7.477151652105907,-7.022273732424729,-7.488353120406915,-7.340427986543947,-inf,-inf,-9.075207697984688,-8.684727087093222,1.0787878787878786,1.0884320159280139,1.0805194805194804,1.087033699367941,1,1,1.001934235976789,1.0015635185131846
V Z,2,-9.086589564540008,-8.120886021092838,-8.987694622138164,-8.729221374444382,-inf,-inf,-9.326522126265592,-8.775671122167099,1.018181818181818,1.0214206677753566,1.044155844155844,1.0286949914042813,1,1,1.001934235976789,1.0015635185131846
ZH L,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.1818181818181819,1.2082001500881527,1.1272727272727272,1.188038301756261,1,1,1,1
SH F,2,-7.294830095311953,-7.022273732424729,-7.16098632718384,-7.099252203502454,-inf,-inf,-9.041921720351219,-8.527125147495754,1.0363636363636364,1.0321109282208791,1.057142857142857,1.0386543762787401,1,1,1.001934235976789,1.0015635185131846
Z N,2,-8.393442383980062,-7.7154209129846745,-8.425662333786361,-8.226867077564613,-inf,-inf,-8.961879012677684,-8.42571221360192,1.0484848484848484,1.044893297380627,1.0623376623376624,1.048888804155406,1,1,1.001934235976789,1.0015635185131846
F N,2,-7.294830095311953,-7.022273732424729,-7.003794214194715,-6.955843183312776,-inf,-inf,-8.348774539791275,-7.564694676669286,1.0848484848484847,1.091248383436635,1.0883116883116883,1.0920746690155836,1,1,1.001934235976789,1.0015635185131846
V T,2,-7.477151652105907,-7.022273732424729,-7.114559700689236,-7.02591220135534,-inf,-inf,-9.075207697984688,-8.440710766703955,1.0787878787878786,1.0951127141653931,1.0805194805194804,1.0932576492254062,1,1,1.001934235976789,1.0015635185131846
Z V,2,-9.086589564540008,-8.120886021092838,-8.987694622138164,-8.729221374444382,-inf,-inf,-9.326522126265592,-8.775671122167099,1.018181818181818,1.0147399695379773,1.044155844155844,1.0224710415468161,1,1,1.001934235976789,1.0015635185131846
F K,2,-5.908535734192062,-5.92366144375662,-5.755979556426847,-5.76790808872674,-inf,-inf,-8.56388591940822,-7.990474241951554,1.1757575757575758,1.1536136398818315,1.1428571428571428,1.1467137638574705,1,1,1.001934235976789,1.0015635185131846
F M,2,-7.294830095311953,-7.022273732424729,-6.94142708032712,-6.898417875271788,-inf,-inf,-8.348774539791275,-7.528205481718942,1.0848484848484847,1.089418951734072,1.0883116883116883,1.0904718776859121,1,1,1.001934235976789,1.0015635185131846
Z M,2,-8.393442383980062,-7.7154209129846745,-8.363295199918765,-8.169441769523624,-inf,-inf,-8.961879012677684,-8.389223018651574,1.0484848484848484,1.043063865678064,1.0623376623376624,1.0472860128257346,1,1,1.001934235976789,1.0015635185131846
ZH M,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.0303030303030303,1.0283238961400867,1.0363636363636364,1.0304461381145014,1,1,1,1
SH P,2,-6.601682914752008,-6.462657944489306,-6.574091928442166,-6.535610161287114,-inf,-inf,-8.745655904208046,-8.263757871863895,1.1272727272727272,1.1154995907834904,1.1116883116883116,1.1117123784774554,1,1,1.001934235976789,1.0015635185131846
V M,2,-8.393442383980062,-7.7154209129846745,-7.9895017802010875,-7.8549259843350185,-inf,-inf,-8.961879012677684,-8.145206698262305,1.0484848484848484,1.0497445639154432,1.0623376623376624,1.0535099626831999,1,1,1.001934235976789,1.0015635185131846
V N,2,-8.393442383980062,-7.7154209129846745,-8.051868914068683,-7.912351292376007,-inf,-inf,-8.961879012677684,-8.18169589321265,1.0484848484848484,1.0515739956180064,1.0623376623376624,1.0551127540128713,1,1,1.001934235976789,1.0015635185131846
Z P,2,-7.294830095311953,-6.86812305259747,-7.352725523522523,-7.209071223165811,-inf,-inf,-9.110299017795956,-8.763327067707836,1.109090909090909,1.0981286321005885,1.0987012987012987,1.0955290437455314,1,1,1.001934235976789,1.0015635185131846
ZH P,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.0909090909090908,1.0833886625626112,1.0727272727272728,1.0786891690342981,1,1,1,1
ZH T,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.0606060606060606,1.0736920463900366,1.0545454545454545,1.0701938246567078,1,1,1,1
SH K,2,-6.314000842300226,-6.2113435162084,-6.399214080938135,-6.36547092109988,-inf,-inf,-8.812347278706719,-8.351922583040245,1.1575757575757577,1.1246295125087253,1.1298701298701297,1.119711233729217,1,1,1.001934235976789,1.0015635185131846
ZH K,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.121212121212121,1.0925185842878462,1.0909090909090908,1.0866880242860597,1,1,1,1
ZH N,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.0303030303030303,1.0301533278426498,1.0363636363636364,1.0320489294441728,1,1,1,1
V P,2,-7.294830095311953,-6.86812305259747,-6.978932103804845,-6.894555437977203,-inf,-inf,-9.110299017795956,-8.519310747318567,1.109090909090909,1.1048093303379678,1.0987012987012987,1.1017529936029966,1,1,1.001934235976789,1.0015635185131846
ZH V,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1.018181818181818,1.0056311668355828,1,1,1,1
V K,2,-7.0071480228601715,-6.6168086243165645,-6.804054256300814,-6.724416197789971,-inf,-inf,-9.176990392294629,-8.607475458494918,1.1393939393939392,1.1139392520632028,1.1168831168831168,1.1097518488547582,1,1,1.001934235976789,1.0015635185131846
Z K,2,-7.0071480228601715,-6.6168086243165645,-7.177847676018493,-7.038931982978577,-inf,-inf,-9.176990392294629,-8.851491778884187,1.1393939393939392,1.1072585538258235,1.1168831168831168,1.103527898997293,1,1,1.001934235976789,1.0015635185131846
